TIME,PPM,TEMP,RH%,GEN,FAN,UVC
12:2:29,1.0519482,23.7,46.2,0,0,0
12:2:29,1.0519482,23.7,46.2,0,0,0
12:2:29,1.0519482,23.7,46.2,0,0,0
12:2:29,1.0519482,23.7,46.2,0,0,0
12:2:29,1.0706142,23.7,46.1,0,0,0
12:2:29,1.0706142,23.7,46.1,0,0,0
12:2:29,1.0706142,23.7,46.1,0,0,0
12:2:29,1.0340143,23.7,46.1,0,0,0
12:2:29,1.0340143,23.7,46.1,0,0,0
12:2:29,1.0340143,23.7,46.1,0,0,0
12:2:29,1.0340143,23.7,46.1,0,0,0
12:2:30,1.0340143,23.7,46.1,0,0,0
12:2:30,1.0340143,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.0448433,23.7,46.1,0,0,0
12:2:30,1.038262,23.7,46.1,0,0,0
12:2:30,1.038262,23.7,46.1,0,0,0
12:2:30,1.038262,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0478017,23.7,46.1,0,0,0
12:2:30,1.0248095,23.7,46.1,0,0,0
12:2:30,1.0248095,23.7,46.1,0,0,0
12:2:30,1.0248095,23.7,46.1,0,0,0
12:2:30,1.0356492,23.7,46.1,0,0,0
12:2:30,1.0356492,23.7,46.1,0,0,0
12:2:30,1.0356492,23.7,46.1,0,0,0
12:2:30,1.0356492,23.7,46.1,0,0,0
12:2:30,1.0362608,23.7,46.1,0,0,0
12:2:30,1.0362608,23.7,46.1,0,0,0
12:2:30,1.0362608,23.7,46.1,0,0,0
12:2:30,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:31,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,0,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:32,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:33,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
12:2:34,1.0388082,23.7,46.1,0,1,0
