TIME,PPM,TEMP,RH%,GEN,FAN,UVC
19:20:33,0.13537803,17.6,34.1,0,0,0
19:20:33,0.13537803,17.6,34.1,0,0,0
19:20:33,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:34,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:35,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
19:20:36,0.13537803,17.6,34.1,0,0,0
